ID,頭文字,品目名,小型家電回収対象,出し方,出し方のポイント
384,お,オカリナ,,燃えないごみ,プラスチックのみでできたものはプラスチック資源へ。木製のものは燃やすごみへ
385,お,お道具箱(紙製),,古紙(雑誌・その他の紙）,
386,お,お香立て(陶器製),,燃えないごみ,
387,お,お香立て(木製),,燃やすごみ,
389,お,お香立て(金属製),,小さな金属類,
391,お,おとしふた(金属製),,小さな金属類,
392,お,斧,,小さな金属類,刃の部分が30㎝以上のものは粗大ごみへ
393,お,オイル吸着剤,,燃やすごみ,
394,お,温泉たまご器・ゆでたまご器(プラスチック製),,プラスチック資源,金属製のものは小さな金属類へ
395,お,温熱治療器,,燃やすごみ,50cm以上のものは粗大ごみへ
396,お,オーディオコンポ,,粗大ごみ,木・プラスチック製で50㎝未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ
397,お,お手玉,,燃やすごみ,
398,お,お道具箱(プラスチック製),,プラスチック資源,
399,お,折れ戸,,粗大ごみ,
400,お,お花紙,,古紙(雑誌・その他の紙）,
401,お,オーブン用トレイ,,小さな金属類,30cm以上のものは粗大ごみへ
402,お,お菓子の包み紙(銀紙),,燃やすごみ,
403,お,オブラート,,燃やすごみ,
404,お,応援バット,,プラスチック資源,50cm以上のものは粗大ごみへ
405,お,おむつ処理バケツ(金属製以外),,プラスチック資源,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
406,お,お弁当ピック,,プラスチック資源,プラスチックのみでできたものはプラスチック資源
408,お,おしりふきのケース,,プラスチック資源,
409,お,お札(ふだ),,古紙(雑誌・その他の紙）,木製のものは燃やすごみへ。
410,お,お弁当カップ,,燃やすごみ,紙製で未使用のものは古紙(雑誌・その他の紙)へ。プラスチックのみでできたものはプラスチック資源へ
411,お,起き上がり小法師,,燃やすごみ,金属製のものは小さな金属類へ
412,お,おろし器(プラスチック製),,プラスチック資源,プラスチックのみでできたものはプラスチック資源へ
413,お,お菓子の容器(紙製),,燃やすごみ,油汚れのついているものが対象。内袋などがあり、食品が付着していないものは古紙(雑誌・その他の紙)へ
414,お,折りたたみテーブル・折りたたみチェアー,,粗大ごみ,金属製で30cm未満のものは小さな金属類へ。木製で50cm未満のものは燃やすごみへ
415,お,音叉,,小さな金属類,
416,お,おろし器(セラミック製),,燃えないごみ,
417,お,おむつ処理バケツ(金属製),,小さな金属類,30㎝以上のものは粗大ごみ
418,お,オイル時計(ガラス製),,燃えないごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
419,お,オイル時計(プラスチック製),,燃やすごみ,"電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
"
420,お,折り紙ケース,,プラスチック資源,プラスチックのみでできたものはプラスチック資源
421,お,お玉置き(プラスチック製),,プラスチック資源,プラスチックのみでできたものはプラスチック資源へ。木製のものは燃やすごみへ。金属製のものは小さな金属類へ
422,か,カーテン,,古布,洗濯して乾かしてから
423,か,カーペット、ホットカーペット,,粗大ごみ,畳んで50cm未満のものは燃やすごみへ
424,か,カーボン紙(裏面にカーボンが塗布),,燃やすごみ,
425,か,カーボン紙(ノーカーボン紙),,古紙(雑誌・その他の紙）,
426,か,貝殻,,燃やすごみ,
427,か,懐中電灯(プラスチック製),◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
428,か,懐中電灯(金属製),◎,小さな金属類,"電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
"
429,か,カイロ(携帯用・蒸気タイプ),,燃やすごみ,
430,か,カイロの外包装,,プラスチック資源,
431,か,鏡,,燃えないごみ,新聞紙等に包み品名を表示する。50cm以上のものは粗大ごみへ
432,か,かさ(骨が金属製),,小さな金属類,骨組みと布部分に分け、布・ビニールは燃やすごみへ。 持ち手はつけたまま出すことができます。
433,か,加湿器(プラスチック製),,燃やすごみ,50㎝以上のものは粗大ごみへ
434,か,菓子箱(紙製),,古紙(雑誌・その他の紙）,折りたたんで出す。食べ物の油等が付着しているものは燃やすごみへ
435,か,菓子箱(金属製),,缶・びん・ペットボトル,
436,か,ガステーブル(ガスコンロ),,粗大ごみ,"電池・充電池は電池類へ。
"
439,か,カセットコンロ(卓上コンロ),,小さな金属類,"電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。30㎝以上のものは粗大ごみへ。
ガスボンベは中身を使い切って、スプレー缶へ。"
440,か,ガスボンベ(カートリッジ式),,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック資源へ。中身が出せなくなったものについては収集事務所に相談
441,か,カセットテープ,,燃やすごみ,カセットテープケースと分けて。ケースはプラスチック資源へ
442,か,カップ麺の包装フィルム,,プラスチック資源,
443,か,カップ麺の中の具の袋・スープの袋,,プラスチック資源,
444,か,カップ麺の容器のフタ(裏側が銀紙),,燃やすごみ,
445,か,カップ麺の容器のフタ(プラスチック製),,プラスチック資源,
446,か,カップ麺の容器(紙製),,燃やすごみ,
448,か,カップ麺の容器(プラスチック製),,プラスチック資源,
449,か,かばん,,燃やすごみ,50㎝以上のものは粗大ごみへ
450,か,花びん(陶器・ガラス製),,燃えないごみ,新聞紙等に包み品名を表示する。50㎝以上のものは粗大ごみへ
451,か,紙おむつ,,燃やすごみ,汚物はトイレに流して
452,か,紙コップ(未使用),,古紙(雑誌・その他の紙）,使用前は古紙(雑誌・その他の紙)へ。使用済は燃やすごみへ
453,か,紙皿(未使用),,古紙(雑誌・その他の紙）,使用前は古紙(雑誌・その他の紙)へ。使用済は燃やすごみへ
454,か,かみそり機(電気かみそり機),◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
455,か,かみそりの刃,,小さな金属類,新聞紙等に包み品名を表示する
456,か,紙袋,,古紙(雑誌・その他の紙）,ビニール製などのひもは取り除く
457,か,紙粘土,,燃やすごみ,
459,か,カメラ・デジタルカメラ(プラスチック製),◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
460,か,カメラ・デジタルカメラ(金属製),◎,小さな金属類,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
461,か,カレンダー,,古紙(雑誌・その他の紙）,金属部分は小さな金属類へ
462,か,換気扇(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ。50㎝未満でプラスチック部分(プロペラなど)があれば、プラスチック資源へ
463,か,換気扇(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
464,か,缶のフタ,,小さな金属類,飲料用・食料用のもののうち、缶に付いたままのものは「缶・びん・ペットボトル」へ
465,か,乾電池(マンガン、アルカリ、リチウム一次電池),,電池類,可能な限り使い切って、テープなどで絶縁をしてください。
466,か,感熱紙(レシートなど熱により発色する紙),,古紙(雑誌・その他の紙）,
467,か,感熱発泡紙(点字本等),,燃やすごみ,加熱すると盛り上がる紙
468,か,カーナビ,◎,燃やすごみ,"金属製のものは小さな金属類へ
車載用の液晶テレビは家電リサイクルの対象外です"
469,か,ガムテープ,,燃やすごみ,
470,か,カラーボックス,,粗大ごみ,50cm未満のものは燃やすごみへ
471,か,革製品,,燃やすごみ,
472,か,カーステレオ,◎,小さな金属類,金属製以外のものは燃やすごみへ
473,か,カーテンレール(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
474,か,カーテンレール(金属製以外),,粗大ごみ,50cm未満のものは燃やすごみへ
475,か,絵画,,燃やすごみ,50cm以上のものは粗大ごみへ 紙だけになるものは古紙(雑誌・その他の紙)へ
476,か,買い物袋,,燃やすごみ,紙製のものは古紙(雑誌・その他の紙)へ。プラスチックのみでできたものはプラスチック資源へ
477,か,回覧板,,燃やすごみ,
478,か,鍵,,小さな金属類,
479,か,かき氷機(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
480,か,かき氷機(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
481,か,額縁(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
483,か,額縁(木製),,燃やすごみ,50cm以上のものは粗大ごみへ
484,か,傘立て,,粗大ごみ,プラスチックのみで50cm未満のものはプラスチック資源へ。木製で50cm未満のものは燃やすごみへ。陶器製で50cm未満のものは燃えないごみへ。金属製で30cm未満のものは小さな金属類へ
485,か,果実酒びん(梅酒などを漬けるもの),,燃えないごみ,ふたは、プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
486,か,型紙,,古紙(雑誌・その他の紙）,
487,か,ガチャガチャ(カプセル),,プラスチック資源,
488,か,楽器,,粗大ごみ,木製で50cm未満のものは燃やすごみへ。プラスチックのみでできたもので50cm未満のものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ。ピアノは販売店へ相談。
